"id","county_name","rate_2010","rate_2012","rate_diff"
"5001","Arkansas County, AR",16.8,7.7,9.1
"8033","Dolores County, CO",17.1,9.5,7.6
26013,"Baraga County, MI",23.4,16.4,7.0
39071,"Highland County, OH",16.1,9.6,6.5
39027,"Clinton County, OH",16.3,10.3,6.0
28159,"Winston County, MS",18.2,12.4,5.8
21169,"Metcalfe County, KY",13.7,8,5.7
"1063","Greene County, AL",17,11.4,5.6
26001,"Alcona County, MI",18.1,12.6,5.5
"4011","Greenlee County, AZ",11.4,6,5.4
26151,"Sanilac County, MI",15.3,9.9,5.4
"4009","Graham County, AZ",14.2,8.9,5.3
47117,"Marshall County, TN",16.4,11.2,5.2
26091,"Lenawee County, MI",14.1,8.9,5.2
39171,"Williams County, OH",12.8,7.6,5.2
26069,"Iosco County, MI",16.4,11.3,5.1
72147,"Vieques Municipio, PR",19,13.9,5.1
39019,"Carroll County, OH",12.5,7.5,5.0
26009,"Antrim County, MI",15.3,10.3,5.0
48377,"Presidio County, TX",17.4,12.4,5.0
"1133","Winston County, AL",14.8,9.8,5.0
47077,"Henderson County, TN",15.6,10.6,5.0
"1075","Lamar County, AL",12.6,7.6,5.0
26059,"Hillsdale County, MI",14.5,9.5,5.0
26063,"Huron County, MI",13.1,8.1,5.0
39149,"Shelby County, OH",11.8,6.8,5.0
21165,"Menifee County, KY",17.3,12.4,4.9
47119,"Maury County, TN",14.2,9.3,4.9
13141,"Hancock County, GA",21.9,17,4.9
21223,"Trimble County, KY",12.9,8.2,4.7
26019,"Benzie County, MI",14.7,10,4.7
26121,"Muskegon County, MI",13.5,8.8,4.7
45087,"Union County, SC",18.7,14,4.7
16021,"Boundary County, ID",14.6,10,4.6
"1099","Monroe County, AL",16.9,12.3,4.6
26005,"Allegan County, MI",11.9,7.3,4.6
"1131","Wilcox County, AL",21,16.4,4.6
39125,"Paulding County, OH",11.5,6.9,4.6
39161,"Van Wert County, OH",12,7.4,4.6
45023,"Chester County, SC",18.4,13.8,4.6
39091,"Logan County, OH",11.2,6.7,4.5
26139,"Ottawa County, MI",11.3,6.8,4.5
26115,"Monroe County, MI",12.5,8,4.5
39039,"Defiance County, OH",11.8,7.3,4.5
26157,"Tuscola County, MI",14.4,9.9,4.5
39047,"Fayette County, OH",11.6,7.1,4.5
39175,"Wyandot County, OH",11.8,7.3,4.5
45091,"York County, SC",15.4,10.9,4.5
18087,"LaGrange County, IN",12.3,7.9,4.4
26135,"Oscoda County, MI",19.5,15.1,4.4
"1035","Conecuh County, AL",16,11.6,4.4
39029,"Columbiana County, OH",12.4,8,4.4
26049,"Genesee County, MI",13.9,9.5,4.4
26117,"Montcalm County, MI",15.4,11,4.4
13069,"Coffee County, GA",17.5,13.1,4.4
26119,"Montmorency County, MI",19.8,15.4,4.4
51690,"Martinsville city, VA",20.4,16,4.4
39121,"Noble County, OH",14.7,10.4,4.3
26075,"Jackson County, MI",12.8,8.5,4.3
"1037","Coosa County, AL",12.5,8.2,4.3
21197,"Powell County, KY",14.4,10.1,4.3
26113,"Missaukee County, MI",15.1,10.8,4.3
29137,"Monroe County, MO",12.5,8.2,4.3
48131,"Duval County, TX",11,6.7,4.3
"1027","Clay County, AL",13.6,9.3,4.3
47101,"Lewis County, TN",15,10.7,4.3
47067,"Hancock County, TN",16,11.7,4.3
26133,"Osceola County, MI",14.5,10.2,4.3
16085,"Valley County, ID",15.7,11.4,4.3
48505,"Zapata County, TX",10.7,6.5,4.2
17007,"Boone County, IL",15.8,11.6,4.2
49013,"Duchesne County, UT",8.3,4.1,4.2
26123,"Newaygo County, MI",12.7,8.5,4.2
39111,"Monroe County, OH",13.8,9.6,4.2
21213,"Simpson County, KY",12.2,8,4.2
26035,"Clare County, MI",15.8,11.6,4.2
22107,"Tensas Parish, LA",14.4,10.2,4.2
47135,"Perry County, TN",16,11.8,4.2
39021,"Champaign County, OH",11.2,7.1,4.1
26137,"Otsego County, MI",15,10.9,4.1
26011,"Arenac County, MI",16.1,12,4.1
48283,"La Salle County, TX",8.4,4.3,4.1
"1017","Chambers County, AL",13.4,9.3,4.1
26087,"Lapeer County, MI",15.9,11.8,4.1
48127,"Dimmit County, TX",9.2,5.1,4.1
"1123","Tallapoosa County, AL",12.6,8.5,4.1
26067,"Ionia County, MI",12.4,8.3,4.1
47075,"Haywood County, TN",15.2,11.2,4.0
21061,"Edmonson County, KY",13.4,9.4,4.0
26079,"Kalkaska County, MI",13.6,9.6,4.0
39067,"Harrison County, OH",12.1,8.1,4.0
26149,"St. Joseph County, MI",12.4,8.4,4.0
51089,"Henry County, VA",13.9,9.9,4.0
39069,"Henry County, OH",11.8,7.8,4.0
18113,"Noble County, IN",13.2,9.2,4.0
45057,"Lancaster County, SC",15.8,11.8,4.0
26127,"Oceana County, MI",15.1,11.1,4.0
"1093","Marion County, AL",13.1,9.1,4.0
39147,"Seneca County, OH",11.5,7.5,4.0
26165,"Wexford County, MI",15.6,11.6,4.0
26007,"Alpena County, MI",13.2,9.3,3.9
39151,"Stark County, OH",11.2,7.3,3.9
49001,"Beaver County, UT",9.8,5.9,3.9
72087,"Loiza Municipio, PR",21.1,17.2,3.9
17201,"Winnebago County, IL",15.3,11.4,3.9
39037,"Darke County, OH",10.6,6.7,3.9
18039,"Elkhart County, IN",13.5,9.6,3.9
21041,"Carroll County, KY",13.5,9.6,3.9
26155,"Shiawassee County, MI",13.2,9.3,3.9
26131,"Ontonagon County, MI",17.2,13.3,3.9
72049,"Culebra Municipio, PR",12.1,8.2,3.9
21085,"Grayson County, KY",14.3,10.4,3.9
39155,"Trumbull County, OH",11.9,8.1,3.8
21191,"Pendleton County, KY",12.4,8.6,3.8
26141,"Presque Isle County, MI",17.8,14,3.8
48413,"Schleicher County, TX",8.2,4.4,3.8
39157,"Tuscarawas County, OH",10.6,6.8,3.8
16063,"Lincoln County, ID",12.9,9.1,3.8
26081,"Kent County, MI",10.3,6.5,3.8
47017,"Carroll County, TN",14.7,10.9,3.8
26085,"Lake County, MI",16,12.2,3.8
26023,"Branch County, MI",12.3,8.5,3.8
49047,"Uintah County, UT",7.7,3.9,3.8
26055,"Grand Traverse County, MI",11.8,8,3.8
39005,"Ashland County, OH",11.3,7.5,3.8
39123,"Ottawa County, OH",13.5,9.8,3.7
39033,"Crawford County, OH",12.4,8.7,3.7
21003,"Allen County, KY",12.4,8.7,3.7
12071,"Lee County, FL",12.6,8.9,3.7
