Incident No.,Reported Date,Reported Time,Category,Building/ Site Name,Incident Summary,Incident Status
1-2013-002431,09/01/2013,7:45 PM,Larceny,Weinstein Hall,"On time and date of report, a student states that $30 (USC) and her NYU ID card was missing from her purse. Complainant indicated the last time she knew she had her property was between 7:30pm and 8pm on August 29th in the Weinstein dining hall. Declined polcie notification at this time.",Open/Under Investigation
1-2013-002433,09/01/2013,8:46 PM,Criminal Mischief,7th Street Residence Hall,"On time and date of report, a building engineer notified Public Safety that someone had intentionally damaged a smoke detector in a 3rd floor room after responding to the room to investigate a trouble alarm.",Open/Under Investigation
1-2013-002449,09/03/2013,11:00 AM,Burglary,Woolworth Building,"On time and date of report, a staff member states that between 2pm August 24th and 9am August 30th, a secured laptop computer valued at $1,000 was taken from a room on the 4th floor. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-002452,09/03/2013,12:30 PM,Larceny,Kimmel Center for University Life,"On time and date of report, a studnet states that between 12;15pm and time/date of report, his laptop computer of undetermined value was taken from his bag while it was left unattended in the E&L auditorium on the 4th floor. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-002453,09/03/2013,12:45 PM,Larceny,Kimmel Center for University Life,"On time and date of report, a student states that a bag containing her wallet, personal identification and I-phone and a Mac laptop with a combined value over $1,000 was taken from the E&L auditorium on the 4th floor between 10:15am and 11am on date of report. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-002454,09/03/2013,1:25 PM,Larceny,Tisch Hall bicycle rack,"On time and date of report, a student states that between 10:15am and 1:15pm on date of report, lights valued at $30 were removed from his bicycle. Declined police notification.",Open/Under Investigation
1-2013-002459,09/03/2013,8:50 PM,Harassment,7th Street Residence Hall,"On time and date of report, a student states receiving threatening text messages from another NYU studnet known to this department. NYPD notified and a polcie report was filed.",Open/Under Investigation
1-2013-002460,09/03/2013,10:20 PM,Controlled Substance,University Hall,"On time and date of report, Public Safety assisted residence life staff with the confiscation of marijuana and drug paraphernalia from a student's room.",Closed/Referred to University Judicial
1-2013-002465,09/04/2013,9:52 AM,Harassment,Brittany Hall,"On time and date of report, a student states receiving menacing emails and text messages from an ex-boyfriend. Declined police notification at this time.",Open/Under Investigation
1-2013-002473,09/04/2013,7:15 PM,Harassment,Off Campus,"On time and date of report, a mother of a student states that her daughter was physically harassed by an unidentified homeless male on the street in the vicinity of 80 Lafayette Street. The student was contacted and university services were offered, which were declined.",Closed/No Further Action
1-2013-002475,09/04/2013,8:30 PM,Larceny,Coles Sports Center Bicycle Rack,"On time and date of report, a student states that between 6:20pm Sep 3rd and time/date of report his bicycle of unknown value was taken from this location. Declined police notification at this time.",Open/Under Investigation
1-2013-002478,09/04/2013,9:47 PM,Criminal Mischief,18 Washington Place,"On time and date of report, a Public Safety Officer states that he responded to an alarm on the lower level of the ARC building and discovered that a panic alarm was ripped from the wall in a restroom.",Open/Under Investigation
1-2013-002480,09/05/2013,12:00 AM,Controlled Substance,Alumni Hall,"On time and date of report, Public Safety assisted residence life staff with the confiscation of drug paraphernalia from a student's room.",Closed/Referred to University Judicial
1-2013-002481,09/05/2013,12:30 AM,Larceny,Barney Building Bicycle Rack,"On time and date of report, a student states that between 1pm Aug 29th and 5pm Sep 4th her bicycle valued at $100 was taken from this location. Declined police notification at this time.",Open/Under Investigation
1-2013-002482,09/05/2013,12:20AM,Controlled Substance,Hayden Hall,"On time and date of report, Public Safety assisted residence life staff with the confiscation of drug paraphernalia from a student's room.",Closed/Referred to University Judicial
1-2013-002488,09/05/2013,10:30 AM,Harassment,240 Mercer Street,"On time and date of report, an NYU law student states that between 8:30pm September 3rd and 9:30am on date of report, he received multiple menacing and threatening voicemails and text messages from an ex-girlfriend (NYU student) who also made an unsolicited visit to the complainant's dormitory room at this location. Declined police notification at this time.",Open/Under Investigation
1-2013-002505,09/04/2013,12:34 PM,Controlled Substance,NYU London,"On time and date of report, Public Safety was informed of an incident at NYU London where at 12pm on date of report, a maintenance worker and residential life staff member investigated a strong odor of marijuana smoke and discovered marijuana residue on a table in the kitchen area adjacent to room 206 in the Byron Court dormitory.",Closed/Referred to University Judicial
